neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
נווה ים,,,,,,15570.58,14932.85,16132.28,16659.91,17184.56,16748.07,17014.21,16930.76,19229.14,19706.72,20803.55,22515.69,22900.97,24162.0,22744.0,24077.91,24727.36,25376.8,26026.25,26675.69
נחלת יהודה,,,,,,,,,,,,21288.76,19854.42,20251.13,19019.02,23011.33,26883.13,24938.43,28972.25,29531.85,30213.75,31506.49,32799.23,34091.98,35384.72
נעורים,9516.0,9723.94,11306.51,12685.99,13930.21,14897.62,15355.2,15929.79,17155.95,18488.54,19560.26,20275.12,20448.85,20618.71,21548.7,21406.08,27394.18,23555.89,27022.04,27663.29,28101.33,29022.97,29944.6,30866.24,31787.88
צמרות,8678.83,9995.39,11082.47,12193.85,15184.38,15995.61,14136.69,14960.85,16196.59,17304.6,16802.65,17748.79,,19479.73,20880.41,23717.56,22625.53,26156.71,30519.17,31685.07,29020.49,30040.52,31060.54,32080.56,33100.58
קדמת ראשון,6872.7,6907.98,8631.89,9755.35,10577.18,13337.13,14024.41,13316.67,12280.68,15123.77,16738.41,16299.14,17334.68,16779.39,17696.86,18324.56,20732.77,21625.67,23257.78,22336.62,23678.3,24495.5,25312.7,26129.9,26947.1
קריית גנים,10350.31,10017.16,11317.61,13307.05,15992.36,15954.82,15833.94,18069.88,16650.75,18765.13,19552.81,20697.17,20664.81,21886.43,20935.03,23396.97,26314.75,27858.39,28999.15,29158.66,29484.63,30455.91,31427.19,32398.47,33369.76
קריית הלאום,,,,,,16019.94,16463.35,16729.64,18625.92,19949.89,21131.28,22204.4,22882.25,21820.87,21684.73,23962.46,29590.28,28766.79,28918.7,30135.16,30887.89,31924.83,32961.77,33998.71,35035.64
קריית חתני פרס נובל,11058.21,13756.54,14251.61,14589.73,16997.78,18391.43,17588.59,18217.64,19828.31,20275.93,21863.1,21271.86,23733.34,21538.59,23316.7,25700.89,27946.94,29992.39,29889.27,27906.06,30421.5,31327.76,32234.03,33140.29,34046.55
קריית ראשון,,,,,,,,15486.63,15955.45,17734.74,18795.02,21355.56,19445.67,15705.05,21476.46,21938.72,25406.83,28981.94,27289.9,27233.58,28799.48,29871.87,30944.26,32016.65,33089.04
קרית כרמים,9958.14,9787.0,11229.46,12861.85,14886.3,15342.18,14667.94,15093.55,15915.83,16515.61,19463.28,20001.38,19754.54,20450.84,20452.79,22022.27,24651.48,27136.04,26676.19,25860.58,27488.52,28379.21,29269.89,30160.57,31051.25
ראשונים,,,,,,,,,,,,,,19601.42,20470.82,20618.94,25833.8,27623.51,28334.71,28064.76,31238.62,32957.27,34675.93,36394.59,38113.24
רביבים,7682.53,7333.54,9197.04,10246.32,10977.93,12327.32,12456.93,13167.31,13662.81,15431.05,16294.05,16003.03,17880.23,17860.37,18035.49,19145.29,22974.81,26924.12,23677.79,23427.22,25357.88,26274.32,27190.75,28107.19,29023.63
"רמב""ם",,,,,,,,,,,,,,,,20175.19,22666.97,22829.78,24835.79,24744.79,26442.91,27573.71,28704.51,29835.32,30966.12
רמז,,,,,,,,,,,,,,,,21902.98,23084.97,26017.53,25497.21,26781.48,28307.61,29524.53,30741.45,31958.38,33175.3
רמת אליהו,,,,,,,,,,23384.25,18964.49,23175.51,23176.78,23269.15,26893.81,27295.2,28897.41,30647.98,34604.44,39658.15,37186.87,38839.73,40492.58,42145.44,43798.29
שיכוני המזרח,11433.87,8707.52,9644.48,11119.12,15088.36,15437.19,11671.74,12866.16,16507.51,13570.8,16097.37,14088.44,16008.17,14060.9,21437.3,19561.79,20851.35,19842.7,27341.98,33856.62,25564.06,26431.14,27298.23,28165.31,29032.4
שער הים,,12512.01,13428.62,14385.12,17904.62,18729.37,18356.95,17504.27,20126.27,19235.13,22169.96,26171.33,19927.46,18193.52,19427.88,23609.27,25557.16,21970.75,35500.06,23962.07,27753.36,28483.06,29212.75,29942.45,30672.14
