neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
כרמל צרפתי,15289.81,16062.03,18365.77,16790.34,17021.63,18194.99,19788.9,20518.69,21588.03,21138.27,22294.76,24950.64
כרמליה,17624.1,17852.29,20116.22,20619.65,18976.15,19835.32,18355.03,19508.18,22251.37,23280.86,23449.46,26658.31
מרכז הכרמל,17801.54,17801.54,17801.54,17801.54,17801.54,17801.54,17801.54,20857.98,23232.79,23741.09,25055.85,26262.41
נוה יוסף,10510.91,10707.15,12860.38,10251.24,11561.31,11252.43,11161.7,10668.73,12641.25,13774.31,14177.75,17263.89
נווה דוד,11098.81,11859.48,12784.3,14147.03,13936.02,15521.2,16041.95,16170.14,17468.09,20668.48,20872.64,25916.16
נווה פז,8380.87,8688.88,9256.11,9890.88,10278.5,10377.08,9546.64,11305.79,13270.31,15790.15,16634.06,17601.3
נווה שאנן,14586.08,14586.08,14586.08,14586.08,14586.08,14586.08,14586.08,15792.41,17059.61,19069.25,19416.97,19998.83
סביוני הכרמל,17903.78,18006.39,18807.76,19129.44,16775.23,17684.96,18469.47,18618.18,20025.23,21852.39,21804.34,22023.45
עין הים,10833.78,10733.62,14097.8,13884.19,13025.39,13482.13,13475.46,14836.75,18199.23,16721.74,19743.26,21140.83
קריית אליהו,10193.03,11477.84,11438.41,11856.02,12857.29,12991.38,13558.73,13789.59,15615.34,16193.49,17686.94,21340.36
קריית אליעזר,13275.7,13275.7,13275.7,13275.7,13275.7,13432.76,14026.37,14988.25,16819.82,18261.33,20113.87,20557.16
קריית שמואל,10962.26,12963.06,12956.06,13490.1,13121.92,13615.23,14171.02,12691.15,14230.66,17511.65,18148.42,18196.3
קריית שפרינצק,14566.36,14566.36,14566.36,14482.06,14843.73,14716.75,14303.38,15771.62,17864.51,19936.81,20302.17,20403.48
קרית חיים מזרחית,13983.78,13983.78,13983.78,13983.78,13983.78,13983.78,13983.78,13983.78,13983.78,15098.1,16076.13,16620.16
קרית חיים מערבית,13123.49,13123.49,13123.49,13123.49,13123.49,13551.51,12534.51,14804.83,17946.21,19954.1,24943.82,27138.58
רוממה,15323.31,15330.66,16421.41,16654.5,16597.44,16193.61,16897.69,15549.4,17777.46,18323.68,19057.63,20438.22
רמות רמז,14902.52,14902.52,14902.52,14902.52,14902.52,14902.52,15219.5,17369.36,19095.19,20517.3,22509.24,22561.57
רמת אלון,15365.52,16390.32,17309.39,16838.56,17243.4,16443.82,16920.17,17774.01,18141.14,19249.21,20551.37,20232.6
רמת אלמוגי,15686.13,16164.64,16426.43,17663.09,17064.67,16196.22,15141.65,17991.91,17816.48,20154.74,18423.58,14960.56
רמת אשכול,15937.61,17392.82,17374.85,15821.24,15472.28,14601.07,14718.92,15690.27,18050.34,17322.58,13581.8,14883.23
רמת בגין,15930.37,16347.59,18666.42,17813.54,14751.88,15523.05,15392.5,17793.4,17486.74,18665.21,17431.86,17049.14
רמת בן גוריון,14246.77,14996.05,16171.82,15817.73,15720.93,15191.09,14620.24,15361.66,17297.6,18020.1,18766.02,17910.45
רמת גולדה,16227.14,17549.78,17940.38,17336.74,15907.33,15349.17,16145.43,16963.1,19330.41,18033.64,16258.95,18341.94
רמת הדר,11477.0,12630.13,13490.67,13545.64,13046.78,14464.6,14090.22,13685.49,16293.06,15626.24,15934.14,17843.19
רמת הנשיא/רמת חביב,13392.22,14558.74,15122.86,16895.54,15134.87,15280.19,16254.17,17618.28,19806.05,20804.51,21454.85,21519.78
רמת התשבי,16949.61,19096.0,19334.64,19792.84,18178.01,19833.79,18979.25,20534.71,22266.25,21207.17,25267.53,29244.64
רמת ויזניץ,10283.49,11015.43,11574.59,11442.99,12338.07,12523.17,12950.65,12154.77,13743.3,14919.92,18076.82,17504.11
רמת חן,15449.54,17897.18,18509.38,19217.2,17722.73,17248.84,16338.98,17827.3,16855.11,21068.78,20509.87,17964.97
רמת ספיר,13484.5,14826.23,16495.49,15329.9,15605.49,14721.44,15611.1,16010.47,17692.16,18771.14,19235.84,18172.12
רמת שאול,14562.18,15850.2,17505.86,17370.42,16261.35,16695.26,16818.23,18476.13,19603.19,20431.48,20836.74,23109.36
שער העלייה,10116.15,11490.13,12269.77,12219.27,13218.34,12802.23,13633.18,15394.56,16836.95,14617.96,19122.11,22516.87
תל עמל,8705.0,9517.79,9095.73,10266.12,10146.47,11362.9,11151.86,11699.41,12945.01,13778.93,16220.67,17081.45
